id,name,slug,status,price,price_cents,compare_at_price,compare_at_price_cents,stock_qty,short_desc,overview,features,how_to_use,inci_ingredients,key_ingredients,size,shelf_life,claims,thumbnail_url,gallery_urls,category_slug
bundle-1,"Prep & Primer Bundle",prep-primer-bundle,active,370,37000,,,,10,"Product Prep & Primer Bundle","Product Prep & Primer Bundle description",";",";",";",";","","","https://example.com/prep-primer-bundle.webp","https://example.com/prep-primer-bundle-1.webp;https://example.com/prep-primer-bundle-2.webp",nail-products
1,"Cuticle Oil",cuticle-oil,active,140,14000,,,,10,"Product Cuticle Oil","Product Cuticle Oil description",";",";",";",";","","","https://example.com/cuticle-oil.webp","https://example.com/cuticle-oil-1.webp;https://example.com/cuticle-oil-2.webp",nail-products
2,"Vitamin Primer",vitamin-primer,active,210,21000,,,,10,"Product Vitamin Primer","Product Vitamin Primer description",";",";",";",";","","","https://example.com/vitamin-primer.webp","https://example.com/vitamin-primer-1.webp;https://example.com/vitamin-primer-2.webp",nail-products
3,"Prep Solution (Nail Dehydrator)",prep-solution,active,200,20000,,,,10,"Product Prep Solution (Nail Dehydrator)","Product Prep Solution (Nail Dehydrator) description",";",";",";",";","","","https://example.com/prep-solution.webp","https://example.com/prep-solution-1.webp;https://example.com/prep-solution-2.webp",nail-products
4,"Non-Wipe Top Coat",top-coat,active,190,19000,,,,10,"Product Non-Wipe Top Coat","Product Non-Wipe Top Coat description",";",";",";",";","","","https://example.com/top-coat.webp","https://example.com/top-coat-1.webp;https://example.com/top-coat-2.webp",nail-products
5,"Fairy Dust Top Coat",fairy-dust-top-coat,active,195,19500,,,,10,"Product Fairy Dust Top Coat","Product Fairy Dust Top Coat description",";",";",";",";","","","https://example.com/fairy-dust-top-coat.webp","https://example.com/fairy-dust-top-coat-1.webp;https://example.com/fairy-dust-top-coat-2.webp",nail-products
6,"Hand Files",nail-file,active,35,3500,,,,10,"Product Hand Files","Product Hand Files description",";",";",";",";","","","https://example.com/nail-file.webp","https://example.com/nail-file-1.webp;https://example.com/nail-file-2.webp",nail-products
7,"Nail Forms",nail-forms,active,290,29000,,,,10,"Product Nail Forms","Product Nail Forms description",";",";",";",";","","","https://example.com/nail-forms.webp","https://example.com/nail-forms-1.webp;https://example.com/nail-forms-2.webp",nail-products
8,"Acetone (Remover)",acetone-remover,active,60,6000,,,,10,"Product Acetone (Remover)","Product Acetone (Remover) description",";",";",";",";","","","https://example.com/acetone-remover.webp","https://example.com/acetone-remover-1.webp;https://example.com/acetone-remover-2.webp",nail-products
coming-soon-2,"Low Odour Nail Liquid",nail-liquid-monomer-coming-soon,active,384,38400,,,,10,"Product Low Odour Nail Liquid","Product Low Odour Nail Liquid description",";",";",";",";","","","https://example.com/nail-liquid-monomer-coming-soon.webp","https://example.com/nail-liquid-monomer-coming-soon-1.webp;https://example.com/nail-liquid-monomer-coming-soon-2.webp",nail-products
16,"Professional Detail Brush",professional-detail-brush,active,320,32000,,,,10,"Product Professional Detail Brush","Product Professional Detail Brush description",";",";",";",";","","","https://example.com/professional-detail-brush.webp","https://example.com/professional-detail-brush-1.webp;https://example.com/professional-detail-brush-2.webp",nail-products
17,"Glitter Acrylic",glitter-acrylic,active,250,25000,,,,10,"Product Glitter Acrylic","Product Glitter Acrylic description",";",";",";",";","","","https://example.com/glitter-acrylic.webp","https://example.com/glitter-acrylic-1.webp;https://example.com/glitter-acrylic-2.webp",nail-products
18,"Rose Petal Manicure Table",rose-petal-manicure-table,active,2590,259000,,,,10,"Product Rose Petal Manicure Table","Product Rose Petal Manicure Table description",";",";",";",";","","","https://example.com/rose-petal-manicure-table.webp","https://example.com/rose-petal-manicure-table-1.webp;https://example.com/rose-petal-manicure-table-2.webp",nail-products
18,"Iris Manicure Table",iris-manicure-table,active,3490,349000,,,,10,"Product Iris Manicure Table","Product Iris Manicure Table description",";",";",";",";","","","https://example.com/iris-manicure-table.webp","https://example.com/iris-manicure-table-1.webp;https://example.com/iris-manicure-table-2.webp",nail-products
15,"Blom Manicure Table & Work Station",blom-manicure-workstation,active,4500,450000,,,,10,"Product Blom Manicure Table & Work Station","Product Blom Manicure Table & Work Station description",";",";",";",";","","","https://example.com/blom-manicure-workstation.webp","https://example.com/blom-manicure-workstation-1.webp;https://example.com/blom-manicure-workstation-2.webp",nail-products
19,"Daisy Manicure Table",daisy-manicure-table,active,2700,270000,,,,10,"Product Daisy Manicure Table","Product Daisy Manicure Table description",";",";",";",";","","","https://example.com/daisy-manicure-table.webp","https://example.com/daisy-manicure-table-1.webp;https://example.com/daisy-manicure-table-2.webp",nail-products
20,"Polish Garden (Gel Polish Rack)",polish-garden-rack,active,1150,115000,,,,10,"Product Polish Garden (Gel Polish Rack)","Product Polish Garden (Gel Polish Rack) description",";",";",";",";","","","https://example.com/polish-garden-rack.webp","https://example.com/polish-garden-rack-1.webp;https://example.com/polish-garden-rack-2.webp",nail-products
21,"Blossom Manicure Table",blossom-manicure-table,active,5200,520000,,,,10,"Product Blossom Manicure Table","Product Blossom Manicure Table description",";",";",";",";","","","https://example.com/blossom-manicure-table.webp","https://example.com/blossom-manicure-table-1.webp;https://example.com/blossom-manicure-table-2.webp",nail-products
22,"Pearly Pedicure Station",pearly-pedicure-station,active,4800,480000,,,,10,"Product Pearly Pedicure Station","Product Pearly Pedicure Station description",";",";",";",";","","","https://example.com/pearly-pedicure-station.webp","https://example.com/pearly-pedicure-station-1.webp;https://example.com/pearly-pedicure-station-2.webp",nail-products
23,"Princess Dresser",princess-dresser,active,7400,740000,,,,10,"Product Princess Dresser","Product Princess Dresser description",";",";",";",";","","","https://example.com/princess-dresser.webp","https://example.com/princess-dresser-1.webp;https://example.com/princess-dresser-2.webp",nail-products
21,"Floral Manicure Table",floral-manicure-table,active,4300,430000,,,,10,"Product Floral Manicure Table","Product Floral Manicure Table description",";",";",";",";","","","https://example.com/floral-manicure-table.webp","https://example.com/floral-manicure-table-1.webp;https://example.com/floral-manicure-table-2.webp",nail-products
22,"Orchid Manicure Table",orchid-manicure-table,active,3700,370000,,,,10,"Product Orchid Manicure Table","Product Orchid Manicure Table description",";",";",";",";","","","https://example.com/orchid-manicure-table.webp","https://example.com/orchid-manicure-table-1.webp;https://example.com/orchid-manicure-table-2.webp",nail-products